Year,Afghanistan,Albania,United Arab Emirates,Armenia,Developing Asia,Antigua and Barbuda,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bahamas,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Cyprus,Czech Republic,Germany,Developing Countries,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific developing,Europe & Central Asia developing,Ecuador,"Egypt, Arab Rep.",Spain,Estonia,Finland,Fiji,France,Gabon,United Kingdom,Georgia,Guinea,"Gambia, The",Equatorial Guinea,Greece,Grenada,Guatemala,Guyana,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,High income: OECD,Indonesia,India,Ireland,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Latin America & Caribbean developing,"Lao, PDR",Lebanon,Liberia,Libya,St. Lucia,Low Income,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Madagascar,Maldives,Mexico,Middle Income Countries,"Macedonia, FYR",Mali,Malta,Middle East & N. Africa developing,Montenegro,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Nigeria,Nicaragua,Netherlands,Norway,Nepal,High Income: Non-OECD,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Paraguay,West Bank and Gaza,Qatar,Romania,Russian Federation,Rwanda,South Asia developing,Saudi Arabia,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Serbia,Sub-Saharan Africa developing,Sao Tome and Principe,Suriname,Slovakia,Slovenia,Sweden,Swaziland,Seychelles,Chad,Togo,Thailand,Tajikistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, China",Uganda,Uruguay,United States,St. Vincent and the Grenadines,"Venezuela, RB",Vietnam,World (WBG members),Samoa,"Yemen, Rep.",South Africa,Zambia
1989,NA,NA,NA,NA,35.24378,NA,64.49682,NA,NA,65.18189,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.34002,NA,NA,NA,NA,NA,64.97249,72.08388,23.85644,39.75824,42.82522,NA,NA,7.388835,NA,NA,7.321725,51.94508,NA,66.32997,20.70843,NA,NA,65.61135,8.006502,NA,37.25735,NA,0.903619,17.23333,49.45846,NA,68.14427,NA,69.6807,NA,59.3964,NA,NA,NA,NA,25.6612,NA,12.64176,NA,61.911,51.94752,7.515576,NA,NA,NA,62.15357,12.02934,NA,59.74129,35.2045,28.19365,53.06399,3.21647,41.69293,91.63216,NA,9.567166,NA,NA,NA,NA,41.52422,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.66268,NA,NA,NA,NA,NA,9.390047,20.74616,NA,NA,NA,NA,NA,NA,NA,26.69851,NA,55.39068,NA,2.383723,NA,64.05886,63.24716,NA,55.6931,NA,17.66173,68.96006,0.04194,24.43348,6.488521,42.98377,9.906709,NA,NA,NA,NA,NA,NA,70.42614,NA,70.78509,NA,NA,26.11177,NA,NA,13.42447,NA,NA,NA,NA,62.73836,NA,NA,NA,NA,47.78077,NA,NA,NA,NA,44.1261,0.044468,68.32116,NA,1.03648,57.21002,NA,0.30184,NA,49.71672,NA,NA,21.32035,0.119036
1990,NA,NA,NA,NA,36.50166,NA,66.6012,NA,NA,67.43136,NA,NA,NA,0.03035,NA,NA,NA,NA,65.75227,27.33665,0.000959,NA,NA,NA,NA,68.07848,75.97926,30.06782,40.96995,42.46938,NA,NA,9.540734,NA,NA,8.717869,54.28455,NA,68.1229,21.81402,NA,NA,67.34898,12.0482,NA,38.56469,NA,1.342038,20.125,52.78334,NA,72.31094,NA,72.04384,NA,63.57122,NA,NA,NA,NA,30.88253,NA,17.82766,NA,64.92681,57.27757,9.279595,NA,NA,NA,65.19762,12.96879,NA,61.74762,40.6646,33.03544,56.48952,3.920926,48.48077,94.45307,NA,11.06238,NA,NA,NA,NA,45.08432,4.485196,NA,NA,NA,NA,NA,NA,NA,0.17016,66.02063,0.653595,NA,NA,NA,NA,11.89267,21.85376,NA,NA,NA,NA,NA,NA,NA,30.28662,NA,57.10932,NA,2.569572,NA,65.62743,65.85992,NA,57.86026,NA,19.26489,69.4741,3.178431,27.36659,11.44856,48.82388,13.68956,NA,NA,0.034919,0.001414,NA,NA,71.89394,NA,73.22704,NA,NA,32.37754,NA,NA,15.06441,NA,NA,NA,NA,69.30685,NA,NA,NA,NA,50.54547,NA,NA,NA,NA,46.98276,0.071289,71.1398,NA,2.20274,60.29819,NA,0.424556,NA,52.16386,NA,NA,24.35065,0.222201
1991,NA,NA,NA,NA,38.06775,NA,68.85522,NA,NA,69.59526,NA,NA,NA,0.157562,NA,NA,NA,NA,67.06777,33.19766,0.004906,NA,NA,NA,NA,71.90849,80.43133,36.61792,42.42848,43.16452,NA,NA,12.43671,NA,NA,11.21683,57.02101,35.10811,70.90909,23.25579,NA,NA,68.96834,17.71882,NA,40.18635,0.064699,1.994707,24.11667,55.9158,NA,75.28451,NA,74.35891,NA,68.34381,NA,NA,NA,NA,36.90396,NA,24.08612,NA,68.01772,63.71464,12.42991,NA,NA,NA,68.28405,14.18987,NA,63.75396,43.43321,39.31414,60.05061,5.935998,52.46314,97.52415,NA,13.163,NA,NA,NA,NA,49.2922,5.966101,NA,NA,NA,NA,NA,NA,NA,0.376458,68.17657,1.134713,NA,NA,NA,NA,14.58782,23.29816,NA,NA,NA,NA,NA,NA,NA,32.40977,NA,59.56573,NA,2.884709,NA,67.68092,68.12431,NA,61.19353,NA,21.52178,70.34401,16.195,32.65716,16.63824,54.58118,17.01211,NA,NA,0.079168,0.003314,NA,NA,75.43561,NA,75.74621,NA,NA,37.04284,NA,NA,17.13338,NA,NA,NA,NA,75.77804,NA,NA,NA,NA,53.43813,NA,NA,NA,NA,50.82826,0.118317,73.71685,NA,4.446092,62.85179,NA,0.569776,NA,54.75251,NA,NA,28.05435,0.452338
1992,NA,NA,NA,0.019203,40.46016,NA,71.59559,NA,NA,71.2876,NA,NA,NA,0.301415,NA,NA,NA,NA,68.68058,37.20252,0.051285,NA,NA,NA,NA,72.98002,83.67835,42.26656,45.12593,45.01821,NA,NA,15.79844,NA,NA,13.66294,60.72741,38.98198,74.49495,25.10688,NA,NA,70.42394,18.47385,NA,42.69384,0.162888,3.084803,27.375,59.22868,11.94955,77.221,NA,76.11657,NA,71.26619,NA,NA,NA,NA,42.76042,NA,26.55378,NA,70.35105,69.81345,13.51636,1.880643,NA,15.67318,70.62889,15.25844,NA,65.7075,45.15264,44.0114,63.13268,10.51769,54.54499,99.24086,NA,16.75883,NA,NA,NA,NA,52.35457,7.307083,NA,NA,NA,NA,NA,NA,NA,4.218669,70.33065,11.98257,NA,NA,NA,NA,16.8501,25.15262,NA,NA,NA,NA,NA,NA,NA,33.93843,NA,62.40778,NA,4.145254,NA,69.84175,69.7103,NA,63.21353,NA,23.65846,71.6291,28.10299,35.50804,22.77783,59.79874,19.58859,NA,NA,0.245805,0.05535,NA,NA,75.39773,NA,77.44591,NA,NA,41.19956,NA,NA,19.87595,NA,NA,NA,25.29842,77.50703,NA,NA,NA,NA,55.64989,NA,NA,NA,NA,53.79479,0.201226,77.00795,NA,7.488435,64.75546,NA,0.748814,NA,56.90573,NA,NA,31.99856,1.174491
1993,NA,NA,NA,0.326774,45.49808,NA,74.24242,NA,13.03742,73.25031,NA,49.68604,NA,0.520918,NA,NA,NA,0.010408,69.69875,40.37441,1.039152,59.96661,NA,NA,NA,74.34115,86.43357,47.64613,51.71603,45.98643,NA,NA,19.34599,NA,NA,14.99896,63.69531,47.03604,77.82828,28.52434,NA,NA,71.27911,19.44299,NA,48.276,0.666047,4.471477,30.69167,61.9352,22.6813,78.83627,59.38562,77.71842,NA,73.05946,NA,NA,NA,NA,48.89734,NA,30.10179,NA,72.59341,75.98401,14.97274,30.43879,7.192824,19.19404,72.81627,16.73497,35.41942,66.60507,46.9963,48.82798,65.93456,12.82765,57.00474,100.4745,0.380129,24.4677,NA,NA,NA,NA,54.86817,9.071008,5.117803,NA,NA,NA,NA,NA,NA,21.53427,72.8515,25.07262,NA,NA,NA,NA,18.49323,28.57935,28.1909,51.20283,NA,NA,NA,8.41394,38.75082,37.51592,NA,64.7049,NA,6.553218,NA,71.64353,71.30546,37.3288,67.35078,NA,26.01692,71.95532,41.75536,37.88377,30.3447,63.85535,23.18841,NA,NA,0.875211,0.539248,17.63449,34.68073,76.18371,NA,79.22013,22.66213,NA,48.82351,NA,NA,22.87427,NA,NA,35.55036,33.30448,81.10955,NA,NA,NA,NA,57.48524,NA,NA,39.83287,NA,55.94151,0.33423,79.27539,NA,11.539,66.66682,NA,1.034275,NA,59.44683,46.15621,NA,35.08899,3.32508
1994,NA,37.83909,NA,16.54611,54.29755,NA,76.43098,NA,14.974,74.99181,NA,62.19867,NA,1.020982,NA,NA,NA,0.045101,71.5023,43.55371,22.61084,60.01292,NA,NA,NA,74.46423,87.17011,53.09832,64.25976,58.00232,NA,NA,23.76582,NA,NA,17.03047,66.6658,51.7027,79.92424,36.72054,NA,NA,72.70742,21.04918,NA,58.6521,2.494724,5.693496,33.19167,64.85766,33.4962,79.68979,59.75115,79.00506,NA,74.4827,NA,NA,NA,NA,54.21764,NA,33.86744,NA,74.48435,82.65683,18.23209,60.11827,10.25385,22.81559,74.64011,18.16191,37.6676,68.16262,47.72576,54.85446,68.62798,17.33836,58.31639,101.1732,7.567594,31.51476,NA,44.13854,NA,NA,58.3061,21.08486,5.309892,NA,NA,NA,NA,NA,NA,37.0938,74.38282,34.04139,NA,11.73595,NA,NA,19.78143,36.79998,63.87568,62.04406,NA,NA,NA,13.12434,40.35047,40.25478,NA,66.98524,NA,10.27021,NA,73.6526,72.2864,40.44571,71.52797,NA,29.23673,72.845,51.66581,41.81287,38.86533,67.31659,27.92193,NA,NA,2.075138,2.197686,21.75488,36.94447,76.61932,NA,81.67224,25.66655,NA,53.99077,NA,NA,26.97202,NA,NA,40.3242,40.25569,82.89414,NA,NA,NA,NA,60.4106,NA,NA,40.23625,NA,58.59533,0.683633,82.52443,NA,16.70198,68.40512,NA,1.663291,NA,63.17974,51.73213,NA,38.19144,5.134432
1995,NA,40.79339,NA,45.59244,62.35449,NA,78.13318,NA,17.85812,76.09333,NA,66.83551,NA,1.655065,NA,NA,NA,0.362545,73.56951,47.99276,37.53558,61.14036,NA,NA,NA,76.06429,88.739,57.46972,75.05053,66.30255,NA,NA,28.73093,NA,NA,20.97844,68.40718,56.46847,81.28788,44.39232,NA,NA,74.21761,23.6883,NA,67.66219,6.101497,6.99685,38.39167,67.89004,43.12362,80.49743,61.04498,80.42437,NA,76.47523,NA,NA,NA,NA,59.08428,NA,36.71574,NA,76.37563,90.12915,23.59813,61.2983,12.86489,29.27365,76.46528,19.87237,41.93483,69.90496,48.51524,60.36351,72.24331,20.78965,59.68056,101.0438,20.93035,32.00416,NA,43.82505,NA,NA,60.91862,31.07004,6.352863,NA,NA,NA,NA,NA,NA,51.80061,75.88621,42.53813,NA,15.22967,NA,NA,26.70479,44.49508,74.33449,70.98306,NA,NA,NA,19.92099,42.99093,42.66454,NA,69.3159,NA,17.7656,NA,75.07126,74.06491,43.52884,75.67287,NA,32.84416,73.60617,57.41647,44.67288,46.56888,70.15925,31.68537,NA,NA,2.743657,6.533736,33.38272,41.14515,80.32197,NA,83.08076,28.13778,NA,59.40611,NA,NA,32.35926,NA,NA,44.31261,45.71928,84.99005,NA,NA,NA,NA,63.8973,NA,NA,40.82374,NA,62.238,1.295935,85.55066,NA,23.75958,70.32417,NA,2.659984,NA,66.76036,50.22999,NA,41.53439,6.919976
1996,NA,46.0052,NA,54.08761,67.43928,NA,79.59222,NA,22.58037,77.66277,NA,70.91129,NA,3.667747,NA,NA,NA,0.554226,78.22843,53.95807,43.45031,62.59944,NA,NA,NA,77.25891,89.45925,61.69897,81.28984,67.92453,NA,NA,34.70626,NA,NA,24.65278,70.44414,61.41441,82.46633,49.32291,NA,NA,75.81878,24.96679,NA,73.08971,8.803226,8.706882,41.2,70.30577,53.07139,80.98385,62.9072,82.01909,NA,78.35599,39.79275,NA,NA,NA,63.93442,NA,40.77533,NA,78.18515,95.82821,29.22508,63.53196,15.39415,36.14389,78.25247,21.45838,45.69151,71.14572,49.60901,67.17047,75.06327,26.28331,63.58414,101.1818,29.128,34.84365,NA,46.95902,NA,NA,63.91874,37.32474,7.180574,NA,NA,NA,NA,NA,NA,64.55661,76.78638,50.25418,NA,18.81069,NA,NA,35.88547,49.43582,76.1681,76.41488,NA,NA,NA,29.57932,45.00347,45.48832,NA,71.74715,NA,22.97101,NA,76.56024,75,47.54227,78.27819,NA,36.25103,74.50573,64.04752,48.01718,53.59281,72.31242,34.78261,54.52114,NA,3.805619,9.653725,37.68091,44.87671,81.32576,NA,84.22654,31.45083,NA,65.22219,NA,NA,36.5143,NA,NA,46.86943,50.25425,85.39033,NA,NA,NA,NA,67.63711,NA,NA,42.04658,NA,64.60446,2.335746,88.1814,NA,30.4914,72.38551,NA,5.316661,NA,69.48015,52.92964,NA,44.58874,9.91969
1997,NA,61.24117,NA,61.53493,69.75771,NA,80.59297,NA,29.60436,78.92724,NA,72.55456,NA,42.48623,NA,NA,NA,0.909832,79.08953,56.49898,46.45999,67.42619,NA,NA,NA,78.51144,89.92463,65.4835,83.55391,70.65541,NA,NA,41.11652,NA,NA,27.91563,72.98558,66.69369,84.06566,52.2578,NA,NA,77.47453,27.03877,NA,75.31713,11.64139,11.37608,43.03333,71.69099,58.68938,81.95668,65.02587,83.00655,NA,79.78568,42.64249,NA,NA,NA,67.47304,NA,44.54098,NA,79.91153,101.4043,35.1285,65.88841,19.67644,42.76005,79.9718,22.79456,48.27959,72.14889,50.4977,73.21659,76.59074,28.83355,65.49229,102.9503,34.23098,38.78746,NA,50.69709,NA,NA,66.75614,41.66203,9.155638,NA,NA,NA,NA,NA,NA,70.28991,77.83642,54.5207,NA,21.04825,NA,NA,43.28707,52.3797,77.15382,76.13778,NA,NA,NA,31.7598,47.08509,48.58811,NA,73.63347,NA,25.42261,NA,78.17509,76.92519,49.49625,80.29027,NA,40.37527,75.44484,69.52147,50.68531,59.86772,74.00226,37.19028,58.67814,NA,9.699556,11.07874,41.96159,47.61114,81.36364,NA,85.9306,33.99336,NA,68.15097,NA,NA,39.72592,NA,NA,49.74376,54.44661,85.8323,NA,NA,NA,NA,71.40028,NA,NA,42.93988,NA,66.93712,4.336378,88.97956,50.02573,36.53636,74.07766,NA,7.977128,NA,71.55627,56.56157,NA,48.43675,12.34009
1998,NA,73.89446,NA,66.88036,71.25377,NA,81.41601,NA,33.30401,79.67646,NA,76.24453,NA,50.41937,NA,NA,NA,1.577678,78.37989,60.83456,47.94442,66.57053,NA,NA,NA,79.29337,89.94077,68.82986,82.9087,73.96557,NA,NA,48.79585,NA,NA,31.1733,74.61081,73.82883,84.83165,54.62873,NA,NA,78.88464,28.34522,NA,76.63928,15.12589,15.48353,44.74167,73.00607,63.50578,83.11307,68.73995,83.54703,NA,81.02826,44.16235,NA,NA,NA,70.68997,NA,47.48812,NA,81.16045,104.2743,39.92991,70.29614,21.76873,48.81222,81.23259,36.11797,50.46092,73.93523,51.35804,77.1958,78.10918,31.3128,67.51652,103.6318,36.71627,40.88648,NA,58.20353,NA,NA,71.77175,45.20554,17.48275,NA,NA,NA,NA,NA,NA,73.85189,78.583,57.0443,NA,22.68717,NA,NA,50.182,54.75563,77.57388,79.21204,NA,NA,NA,32.22984,50.86679,51.90021,NA,77.53186,NA,27.42008,NA,79.70664,78.65787,55.009,81.18206,NA,42.888,75.91934,74.56523,55.37281,64.97737,75.90616,41.49135,61.9521,NA,15.44723,14.14597,44.82968,49.8568,81.07008,NA,85.69767,38.20814,NA,69.88832,NA,NA,42.44331,NA,NA,53.05816,58.77421,85.71556,NA,NA,NA,NA,77.22671,NA,NA,44.34594,NA,69.02468,8.010187,90.47926,49.49648,40.4854,75.22756,NA,10.83151,NA,73.1313,57.81667,NA,51.81578,15.37155
