Year,Argentina,Developing Asia,Australia,Belgium,Brazil,Canada,Chile,China,Czech Republic,Germany,Developing Countries,Denmark,East Asia & Pacific developing,Europe & Central Asia developing,Spain,Estonia,Finland,France,United Kingdom,High Income Countries,"Hong Kong SAR, China",Hungary,High income: OECD,Indonesia,Israel,Italy,Jordan,Japan,"Korea, Rep.",Latin America & Caribbean developing,Low Income,Mexico,Middle Income Countries,Middle East & N. Africa developing,Malaysia,Netherlands,Norway,New Zealand,High Income: Non-OECD,Peru,Philippines,Poland,Russian Federation,South Asia developing,Singapore,Sub-Saharan Africa developing,Slovakia,Sweden,Thailand,Turkey,"Taiwan, China",Uganda,United States,World (WBG members)
1991,22191.58,NA,80560.51,NA,53953.57,NA,NA,NA,NA,513458.3,NA,NA,NA,NA,91445.4,NA,NA,NA,NA,3351051,100905.3,NA,3153483,NA,NA,NA,NA,315199.7,49587.92,135589.3,NA,72818.52,NA,NA,NA,NA,77245.67,15088.42,235446.6,NA,NA,NA,NA,NA,47745.83,NA,NA,66384.82,44867.88,51.61588,64603.98,NA,528704.3,NA
1992,22254.2,NA,85549.9,NA,63269.99,NA,NA,NA,NA,520368.7,NA,NA,NA,NA,92690.62,NA,NA,NA,NA,3524431,120867.5,NA,3288080,NA,NA,NA,NA,331959,54711.11,151790,NA,78649.25,NA,NA,NA,NA,83314.38,15248.02,263366.3,NA,15399.91,NA,NA,NA,51734.7,NA,NA,66534.56,50383.36,89.88207,68509.85,NA,561466.6,NA
1993,24153.33,NA,90912.32,NA,73589.75,NA,NA,NA,NA,510488.1,NA,NA,NA,NA,92720.41,NA,NA,NA,159262.1,3560039,137161.2,NA,3280548,NA,NA,NA,NA,337113,58710.88,176888.4,NA,91795.78,NA,NA,NA,185376.9,86301.63,15905.15,293904.6,NA,17384.48,NA,NA,NA,61247.96,NA,NA,72278.16,57262.15,156.7559,71342.15,NA,579401.9,NA
1994,28583.86,NA,96492.75,NA,75080.52,NA,NA,NA,NA,561810.2,NA,NA,NA,NA,105533.8,3599.769,NA,NA,168895.3,3888086,151134.7,NA,3560255,NA,NA,NA,NA,349618.3,66471.56,186734.7,NA,99511.03,NA,NA,NA,204276.9,95834.33,17460.53,336063.6,NA,19171.24,NA,NA,NA,78650.06,NA,NA,83427.53,66941.26,521.1643,77694.99,NA,625109.1,4948934
1995,35332.53,NA,99382.24,296008.8,70497.63,NA,NA,NA,NA,617550.7,NA,66158.41,NA,NA,114923.5,3816.057,35968.43,NA,180079.9,4211593,168103.8,NA,3833956,NA,16911.71,NA,NA,366171.7,82042.2,207230.3,NA,123256.7,NA,NA,NA,232110.9,101217.5,17983.1,381787.2,NA,22366.87,NA,NA,NA,91012.18,NA,NA,90334.67,76568.04,837.4509,87338.68,NA,679022.4,5375153
1996,38010.47,NA,111499,298219.9,72426.13,NA,NA,NA,NA,634924.4,NA,67201.89,NA,NA,128538.9,3817.308,37062.82,NA,196837.8,4479665,175449.3,NA,4073347,NA,19108.81,385153.2,NA,376444.6,92825.65,234000.3,NA,146101.7,NA,NA,NA,238016.2,112726.5,18740.28,406257.4,15472.46,24249.72,NA,NA,NA,100193.8,NA,NA,95017.06,67977.19,1677.734,92603.8,NA,722192,5717860
1997,43762.63,NA,120556.3,300498.7,79762.12,345.116,NA,NA,NA,698409.6,NA,71674.96,NA,NA,146997.1,5028.441,43416.12,NA,205218.3,4888499,185689.2,NA,4447854,NA,22520.8,414934,3263.713,420521,107678.8,267312.2,NA,169961,NA,NA,NA,254929.9,119265.1,19818.7,440938.5,17589.04,29080.54,NA,NA,NA,111750.4,NA,NA,105071.3,71003.94,3721.301,99736.24,NA,807117.2,6257779
1998,49340.98,NA,120819.3,309130.8,82731.66,376.0994,NA,NA,43698.06,752461.3,NA,73117.83,NA,NA,156265.9,5893.395,46992.36,NA,203461.8,5050318,178654.4,NA,4613345,108373.5,26019.2,427057.2,3385.114,413080,118283.5,291325.9,NA,192252.7,NA,3385.114,NA,275638,119548.8,19807.35,439835.2,16341.48,34142.82,NA,NA,NA,111914.7,NA,NA,112644.1,76007.31,6730.803,99925.15,NA,826166.3,6470534
1999,48286.96,NA,126807.3,313968.3,89280.67,420.5794,NA,NA,48097.36,790443.6,NA,78349.58,NA,NA,165112.1,5836.826,49794.37,466084,213334.9,5292372,184029.9,NA,4827670,94115.4,30934.96,426722.1,3554.325,431916.5,133784.5,322147.9,NA,214450.1,NA,3554.325,NA,293970.6,122510.7,20513.94,465372.7,18417.17,38447.85,NA,NA,NA,117329,NA,NA,118339.1,84420.68,11575.74,115726.8,NA,853250,6787701
2000,49195.51,NA,138731.5,325061.4,98714.14,455.4238,NA,NA,55794.18,897191.4,NA,84541.34,NA,NA,184387.5,8329.52,58582.38,495507.2,252013.6,5921387,214947,NA,5383901,102336.5,37912.01,477303,3865.576,491363.6,154736.1,362033.9,NA,243065.2,NA,3865.576,NA,339848.3,126491.2,21607.2,537893,20254.54,43283.61,62618.08,NA,NA,135819.8,NA,NA,129882.3,103156.2,18581.23,137930.6,NA,943662.1,7609944
2001,52195.37,NA,140234.2,334087,108312.1,438.4557,NA,NA,62857.62,949560.1,NA,86501.19,NA,NA,191999.8,6836.143,59396.62,495524.5,267019.3,5941151,207104,NA,5427164,100362.1,36383.33,490107,4596.802,451981.8,160056.4,367306.4,NA,237753,NA,4596.802,NA,353609.1,134336.2,22124.38,514855.4,21241.23,39950.23,70135.73,NA,NA,132475.1,NA,NA,128114.5,104263.1,43178.38,123081,NA,887192,7664020
2002,52322.55,NA,141167.7,351872.1,117484.7,440.5935,NA,NA,66626.37,971490,NA,91857.4,NA,NA,199076.5,6698.115,62066.44,494163.7,256614.6,6056895,224290.9,NA,5496744,97012.15,40804.36,477645.2,5540.455,486832.2,179775.5,374875.3,1000.611,235349.9,NA,5540.455,NA,351562.6,136356.2,23501.68,560378.8,22040.61,42332.53,75826.93,NA,NA,148105.4,1000.611,NA,130377.4,107997.3,61245.78,135660,1000.611,852055.2,7832855
2003,54948.51,NA,138962.9,349586.2,135928.3,430.661,52997.97,NA,72135.5,993356.9,NA,89806.2,NA,NA,209420.1,6868.455,63658.17,486001.8,233510.1,6277033,253995.9,NA,5625250,94104.87,40779.11,471579.1,6152.361,531564.6,209225.4,389359.1,1066.835,229567.2,NA,6152.361,NA,359158,137390.2,24096.63,651722.5,23863.59,43783.2,90087.25,NA,NA,191228,1066.835,NA,136732.3,119872.6,70006.47,151550,1066.835,876980.9,8128190
2004,54915.27,NA,145759.8,352831,161484.3,446.289,60808.09,NA,87401.58,1087623,NA,93194.31,NA,NA,220659.2,8022.61,66754.01,508468.7,210316.2,6801630,290826.7,60171.4,6052808,98150.56,46286.33,495059.5,6902.251,602860.7,247875.5,422297.9,1265.354,234236.8,NA,6902.251,NA,389162.7,136372.3,25758.63,748821.9,26576.81,48191.21,107431.9,NA,NA,228405.9,1265.354,NA,150168.7,136048.9,76682.92,174674.1,1265.354,949328.6,8812893
2005,61288.4,NA,150830.3,355717.2,176755.6,449.8729,62195.93,1035820,96413.46,1158560,NA,96623.94,NA,NA,222508.7,10149.57,70852.03,522454.2,227446.9,7178744,319913.8,67279.04,6355046,101700.4,46454,499212.4,6688.262,634711.3,266665.5,453545.4,1463.421,246402.2,NA,6688.262,NA,412599.7,135529.2,25562.7,823698.3,30387.68,49054.08,119613.1,NA,NA,254619.5,1463.421,NA,155767.8,145846.2,79317.22,187876.5,1463.421,1017399,9451645
2006,64065.11,1762226,153890.8,358324.7,182557.6,454.4501,64541.78,1250570,111785.7,1292995,2633226,103542.9,1762226,NA,234034.3,12151.21,81398.22,564585,254369.4,7836665,346496.3,78957.03,6934813,118229.7,47865.97,525494.9,7275.99,705879.8,309336.4,480598.3,1495.944,267661.8,2631798,7275.99,NA,452174.7,132606.2,26333.98,901852,30378.85,53064.12,138898.3,280335,NA,282925.4,1495.944,NA,166655.7,161982.9,95270.98,208365.2,1495.944,1118483,10481078
2007,67923.91,1977817,157565.8,365504.2,192766.8,454.2656,68820.47,1420107,127678.8,1381267,2887400,106925.1,1977817,398350.6,247585.9,11768.5,86452.19,570207.9,213351.9,8282492,369877.1,91949.73,7313844,122932.3,53911.8,549530,6882.492,771369,350957.4,500469.2,1879.7,276857.3,2885577,6882.492,NA,484760,134351,27544.7,968647.9,30845.07,53054.21,150361.1,302790.2,NA,306881.2,1879.7,NA,168257.4,181521,95560.4,223965.7,1879.7,1193213,11176252
2008,67179.1,1966093,166063,367447.5,187045.7,427.9975,67604.68,1402543,133623.6,1383685,2873190,109946.7,1966093,405614.3,249213,11909.4,85878.53,567959.1,231768.9,8460941,374420,97756.45,7472679,124078.2,47002,526844.4,6302.023,789954.4,383629.6,491005.4,1982.522,270604.8,2871255,6302.023,NA,493823.5,134946.6,27198.5,988260.8,33354.91,50528.82,163577.1,303986.2,NA,320029.6,1982.522,NA,171343.1,189927.9,101628.1,226632.1,1982.522,1261018,11344628
2009,60023.66,1754160,159379.8,381114.5,168021.3,365.3927,65529.32,1241514,115439.5,1154996,2632918,97055.66,1754160,413847.3,225680.5,9477.336,64631.08,495276.7,243026.4,7400195,323732.1,85147.09,6527594,129777.4,45420.9,424321.7,5406.959,591905.2,386458.9,449957.9,2726.781,248693.6,2630167,5406.959,NA,448764.2,130560.7,28699.13,872600.9,33242.96,43045.28,149837.3,301499.5,NA,286125.7,2726.781,56.26358,139244.8,162260.6,112347.8,202719.4,2726.781,1085206,10036016
2010,68264.15,2149107,178062,374343.5,183238.7,395.9683,65715.18,1568673,137882.8,1328413,3110286,102057.3,2149107,446325.8,259476.3,12022.29,71920.61,551897.4,270519.2,8477202,379622.8,99608.08,7427126,150736.6,50480.1,462570,6887.814,755421.1,463035.4,505558.6,2406.937,288514.6,3107880,6887.814,186175.4,507632.7,127152.9,29485,1050077,33805.29,54691.78,165988.9,328709.8,NA,345934.6,2406.937,66.25549,160521.6,188831,117616,256254.9,2406.937,1252458,11587489
