Year,Argentina,Developing Asia,Australia,Belgium,Brazil,Canada,Chile,China,Czech Republic,Germany,Developing Countries,Denmark,East Asia & Pacific developing,Europe & Central Asia developing,Spain,Estonia,Finland,France,United Kingdom,High Income Countries,"Hong Kong SAR, China",Hungary,High income: OECD,Indonesia,Israel,Italy,Jordan,Japan,"Korea, Rep.",Latin America & Caribbean developing,Low Income,Mexico,Middle Income Countries,Middle East & N. Africa developing,Malaysia,Netherlands,Norway,New Zealand,High Income: Non-OECD,Peru,Philippines,Poland,Russian Federation,South Asia developing,Singapore,Sub-Saharan Africa developing,Slovakia,Sweden,Thailand,Turkey,"Taiwan, China",Uganda,United States,World (WBG members)
1991M01,1265.303,3313.754,5502.346,NA,4896.404,NA,NA,NA,NA,44250.68,13522.17,NA,3313.754,2.651407,7260.23,NA,NA,NA,NA,262499.9,7752.724,NA,247282.3,NA,NA,NA,NA,21646.47,3178.191,10915.59,NA,5309.358,13522.17,NA,NA,NA,6478.726,1096.959,18300.85,NA,NA,NA,NA,NA,4014.566,NA,NA,5493.817,3313.754,2.651407,5268.258,NA,41353.47,168083.9
1991M02,1518.856,NA,5708.852,NA,3887.668,NA,NA,NA,NA,40788.13,NA,NA,NA,NA,7933.039,NA,NA,NA,NA,255747.3,6063.831,NA,246204.4,NA,NA,NA,NA,24397.84,3327.193,10006.73,NA,5468.34,NA,NA,NA,NA,5928.947,1271.097,14918.86,NA,NA,NA,NA,NA,3175.083,NA,NA,5402.757,3152.839,2.588754,4161.086,NA,40909.06,NA
1991M03,1632.372,NA,6890.402,NA,4384.693,NA,NA,NA,NA,43429.16,NA,NA,NA,NA,7689.405,NA,NA,NA,NA,283965.3,6465.924,NA,272547.5,NA,NA,NA,NA,28909.44,3921.644,10908.97,NA,5814.881,NA,NA,NA,NA,6101.73,1241.708,17017.9,NA,NA,NA,NA,NA,4062.258,NA,NA,5898.22,4010.966,3.935234,4857.343,NA,46101.14,NA
1991M04,1884.038,NA,6524.655,NA,5119.613,NA,NA,NA,NA,41399.08,NA,NA,NA,NA,8670.582,NA,NA,NA,NA,276742.4,7942.736,NA,262136.9,NA,NA,NA,NA,24394.36,4006.248,12160.61,NA,6250.205,NA,NA,NA,NA,6996.172,1239.873,18501.62,NA,NA,NA,NA,NA,3896.417,NA,NA,6062.707,3425.034,3.178725,4778.434,NA,45152.55,NA
1991M05,2302.835,NA,7145.694,NA,4917.469,NA,NA,NA,NA,41793.64,NA,NA,NA,NA,7721.173,NA,NA,NA,NA,280063.6,8551.586,NA,262021.1,NA,NA,NA,NA,24739.38,4210.819,11844.38,NA,6156.682,NA,NA,NA,NA,6634.533,1488.776,20520.91,NA,NA,NA,NA,NA,3908.034,NA,NA,5544.209,3584.901,3.911652,5758.457,NA,45104.24,NA
1991M06,2131.789,NA,6717.057,NA,4789.512,NA,NA,NA,NA,41103.51,NA,NA,NA,NA,7520.813,NA,NA,NA,NA,278950.3,8072.009,NA,261343.5,NA,NA,NA,NA,25918.9,4551.094,11457.59,NA,5923,NA,NA,NA,NA,6450.473,1255.97,20238.82,NA,NA,NA,NA,NA,4196.986,NA,NA,5929.178,3495.768,3.585561,5838.037,NA,44562.04,NA
1991M07,2413.624,NA,6700.316,NA,4346.831,NA,NA,NA,NA,45081.05,NA,NA,NA,NA,7666.449,NA,NA,NA,NA,282817.2,9148.862,NA,262472.4,NA,NA,NA,NA,27298.58,3797.545,11272.04,NA,6192.203,NA,NA,NA,NA,6263.96,1271.121,21893.57,NA,NA,NA,NA,NA,4321.697,NA,NA,4371.58,4316.767,3.693405,6009.389,NA,42180.55,NA
1991M08,1980.572,NA,6999.535,NA,4816.337,NA,NA,NA,NA,39706.15,NA,NA,NA,NA,4744.509,NA,NA,NA,NA,261339.4,8849.467,NA,242765.3,NA,NA,NA,NA,25163.15,3958.099,11608.8,NA,6037.554,NA,NA,NA,NA,5109.053,1213.173,20106.56,NA,NA,NA,NA,NA,4049.073,NA,NA,4592.074,3952.132,4.343257,5227.454,NA,42286.11,NA
1991M09,1977.779,NA,6709.11,NA,3526.962,NA,NA,NA,NA,40972.11,NA,NA,NA,NA,6934.43,NA,NA,NA,NA,281088.7,9243.591,NA,261899.8,NA,NA,NA,NA,28156.75,3933.526,10248.95,NA,6055.513,NA,NA,NA,NA,7363.804,1131.228,21191.33,NA,NA,NA,NA,NA,4058.883,NA,NA,5693.852,3863.516,5.345316,5911.076,NA,43420.81,NA
1991M10,1831.87,NA,7226.636,NA,4554.612,NA,NA,NA,NA,46724.53,NA,NA,NA,NA,8806.754,NA,NA,NA,NA,303191.6,9490.926,NA,285492.8,NA,NA,NA,NA,28550.88,4626.753,12099.07,NA,6757.666,NA,NA,NA,NA,6601.398,1185.833,21205.16,NA,1309.983,NA,NA,NA,4239.718,NA,NA,6242.356,3893.626,6.090643,5642.641,NA,47351.01,NA
