Year,Argentina,Developing Asia,Australia,Belgium,Brazil,Canada,Chile,China,Czech Republic,Germany,Developing Countries,Denmark,East Asia & Pacific developing,Europe & Central Asia developing,Spain,Estonia,Finland,France,United Kingdom,High Income Countries,"Hong Kong SAR, China",Hungary,High income: OECD,Indonesia,Israel,Italy,Jordan,Japan,"Korea, Rep.",Latin America & Caribbean developing,Low Income,Mexico,Middle Income Countries,Middle East & N. Africa developing,Malaysia,Netherlands,Norway,New Zealand,High Income: Non-OECD,Peru,Philippines,Poland,Russian Federation,South Asia developing,Singapore,Sub-Saharan Africa developing,Slovakia,Sweden,Thailand,Turkey,"Taiwan, China",Uganda,United States,World (WBG members)
1991Q1,4416.531,NA,18101.6,NA,13168.76,NA,NA,NA,NA,128468,NA,NA,NA,NA,22882.67,NA,NA,NA,NA,802212.5,20282.48,NA,766034.2,NA,NA,NA,NA,74953.75,10427.03,31831.3,NA,16592.58,NA,NA,NA,NA,18509.4,3609.764,50237.6,NA,NA,NA,NA,NA,11251.91,NA,NA,16794.79,10477.56,9.175394,14286.69,NA,128363.7,NA
1991Q2,6318.661,NA,20387.41,NA,14826.59,NA,NA,NA,NA,124296.2,NA,NA,NA,NA,23912.57,NA,NA,NA,NA,835756.3,24566.33,NA,785501.4,NA,NA,NA,NA,75052.64,12768.16,35462.57,NA,18329.89,NA,NA,NA,NA,20081.18,3984.619,59261.36,NA,NA,NA,NA,NA,12001.44,NA,NA,17536.09,10505.7,10.67594,16374.93,NA,134818.8,NA
1991Q3,6371.975,NA,20408.96,NA,12690.13,NA,NA,NA,NA,125759.3,NA,NA,NA,NA,19345.39,NA,NA,NA,NA,825245.3,27241.92,NA,767137.6,NA,NA,NA,NA,80618.48,11689.17,33129.79,NA,18285.27,NA,NA,NA,NA,18736.82,3615.522,63191.47,NA,NA,NA,NA,NA,12429.65,NA,NA,14657.51,12132.41,13.38198,17147.92,NA,127887.5,NA
1991Q4,5084.412,NA,21662.54,NA,13268.09,NA,NA,NA,NA,134934.8,NA,NA,NA,NA,25304.77,NA,NA,NA,NA,887836.5,28814.52,NA,834809.3,NA,NA,NA,NA,84574.83,14703.56,35165.65,NA,19610.78,NA,NA,NA,NA,19918.27,3878.519,62756.22,NA,3895.757,NA,NA,NA,12062.84,NA,NA,17396.43,11752.21,18.38257,16794.44,NA,137634.3,NA
1992Q1,4724.392,NA,19736.18,NA,13636.11,NA,NA,NA,NA,132749.3,NA,NA,NA,NA,24084.89,NA,NA,NA,NA,865141.1,24622.62,NA,820273.9,NA,NA,NA,NA,80522.57,12010.82,34564.59,NA,18680.78,NA,NA,NA,NA,21795.91,3807.248,57402.54,NA,3604.201,NA,NA,NA,11953.98,NA,NA,17557.24,11931.11,17.58866,16101.55,NA,139734.4,NA
1992Q2,6078.713,NA,21266.94,NA,15023.23,NA,NA,NA,NA,125334.7,NA,NA,NA,NA,24301.44,NA,NA,NA,NA,872738.1,29973.41,NA,812933.2,NA,NA,NA,NA,80266.11,14218.43,37029.44,NA,19598.23,NA,NA,NA,NA,20274.3,4307.417,65920.7,NA,3688.244,NA,NA,NA,12341.33,NA,NA,16712.62,12250.12,20.16691,17527.25,NA,141271.6,NA
1992Q3,5932.815,NA,21573.63,NA,16769.21,NA,NA,NA,NA,126803.1,NA,NA,NA,NA,19821.59,NA,NA,NA,NA,863644,32410.92,NA,797604.7,NA,NA,NA,NA,84742.95,13685.53,38890.9,NA,19592.67,NA,NA,NA,NA,19660.74,3452.148,69012.49,NA,4001.03,NA,NA,NA,13310.45,NA,NA,15151.22,13031.43,22.29937,17358.31,NA,134616.1,NA
1992Q4,5518.28,NA,22973.13,NA,17841.44,NA,NA,NA,NA,135481.7,NA,NA,NA,NA,24482.69,NA,NA,NA,NA,922907.6,33860.58,NA,857268.6,NA,NA,NA,NA,86427.34,14796.33,41305.02,NA,20777.57,NA,NA,NA,NA,21583.43,3681.205,71030.53,NA,4106.436,NA,NA,NA,14128.93,NA,NA,17113.48,13170.7,29.82712,17522.75,NA,145844.5,NA
1993Q1,5379.622,NA,20730.79,NA,17997.31,NA,NA,NA,NA,124669.3,NA,NA,NA,NA,23607.92,NA,NA,NA,40341.51,864076.9,29343.39,NA,805600.4,NA,NA,NA,NA,85056.8,13009.62,40947.24,NA,20287.17,NA,NA,NA,46214.7,20140.83,3835.993,65090.89,NA,3709.382,NA,NA,NA,13617.56,NA,NA,17291.66,12665.81,29.31149,16750.32,NA,142521.1,NA
1993Q2,6615.979,NA,22591.81,NA,17840.11,NA,NA,NA,NA,125138.2,NA,NA,NA,NA,24210.01,NA,NA,NA,38285.34,886463,33577.3,NA,816143.2,NA,NA,NA,NA,83042.72,14820.46,43304.18,NA,22648.04,NA,NA,NA,45442.52,22080.52,4370.005,73667.35,NA,4202.856,NA,NA,NA,15164.84,NA,NA,17648.62,13274.95,30.569,18309.24,NA,146823.1,1125736
1993Q3,6154.231,NA,23222.06,NA,19546.94,NA,NA,NA,NA,122607.9,NA,NA,NA,NA,19891.81,NA,NA,NA,37699.51,866902.8,37160.4,NA,790133.6,NA,NA,NA,NA,85359.81,14529.89,45536.58,NA,23028.45,NA,NA,NA,44891.88,20525.95,3707.582,77379.33,NA,4564.071,NA,NA,NA,16228.54,NA,NA,17372.54,15762.09,37.92553,17836.17,NA,137293.4,1111257
1993Q4,6003.498,NA,24367.67,NA,18205.38,NA,NA,NA,NA,138072.7,NA,NA,NA,NA,25010.66,NA,NA,NA,42935.72,942596.4,37080.08,NA,868670.8,NA,NA,NA,NA,83653.7,16350.91,47100.38,NA,25832.12,NA,NA,NA,48827.81,23554.32,3991.565,77767.03,NA,4908.174,NA,NA,NA,16237.02,NA,NA,19965.34,15559.29,58.94989,18446.43,NA,152764.4,1201841
1994Q1,5828.159,NA,22817.81,NA,16173.72,NA,NA,NA,NA,132587.9,NA,NA,NA,NA,26027.81,842.1224,NA,NA,41994.79,920491.4,31652.92,NA,856041.2,NA,NA,NA,NA,84000.34,14156.52,43662.38,NA,24649.35,NA,NA,NA,53109.86,23279.98,4243.053,70768.28,NA,4353.324,NA,NA,NA,16084.81,NA,NA,20146.64,15149.55,65.20526,17202.39,NA,148695.9,1169227
1994Q2,7747.613,NA,24684.21,NA,20167.5,NA,NA,NA,NA,142979.9,NA,NA,NA,NA,26892.28,917.8002,NA,NA,42190.01,972419.7,37081.76,NA,889663.9,NA,NA,NA,NA,84677.27,16629.69,48210.76,NA,24908.17,NA,NA,NA,50540.97,23147.68,4829.996,84561.14,NA,4617.913,NA,NA,NA,20215.34,NA,NA,20819.3,16113.91,118.5032,19516.43,NA,156056.2,1238727
1994Q3,7507.711,NA,24008.92,NA,20773.94,NA,NA,NA,NA,136930,NA,NA,NA,NA,23523.45,853.1074,NA,NA,40101.38,957811.8,41216.65,NA,867323.2,NA,NA,NA,NA,89004.49,16185.05,47401.22,NA,23544.83,NA,NA,NA,48709.24,22835.65,4114.373,89287.5,NA,4935.232,NA,NA,NA,21072.22,NA,NA,18711.61,17379.59,147.0853,19490.92,NA,154462.7,1223187
