Year,Afghanistan,Albania,United Arab Emirates,Armenia,Developing Asia,Antigua and Barbuda,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bahamas,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Cyprus,Czech Republic,Germany,Developing Countries,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific developing,Europe & Central Asia developing,Ecuador,"Egypt, Arab Rep.",Spain,Estonia,Finland,Fiji,France,Gabon,United Kingdom,Georgia,Guinea,"Gambia, The",Equatorial Guinea,Greece,Grenada,Guatemala,Guyana,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,High income: OECD,Indonesia,India,Ireland,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Latin America & Caribbean developing,"Lao, PDR",Lebanon,Liberia,Libya,St. Lucia,Low Income,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Madagascar,Maldives,Mexico,Middle Income Countries,"Macedonia, FYR",Mali,Malta,Middle East & N. Africa developing,Montenegro,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Nigeria,Nicaragua,Netherlands,Norway,Nepal,High Income: Non-OECD,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Paraguay,West Bank and Gaza,Qatar,Romania,Russian Federation,Rwanda,South Asia developing,Saudi Arabia,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Serbia,Sub-Saharan Africa developing,Sao Tome and Principe,Suriname,Slovakia,Slovenia,Sweden,Swaziland,Seychelles,Chad,Togo,Thailand,Tajikistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, China",Uganda,Uruguay,United States,St. Vincent and the Grenadines,"Venezuela, RB",Vietnam,World (WBG members),Samoa,"Yemen, Rep.",South Africa,Zambia
1988M12,NA,NA,NA,NA,33.23211,NA,63.0752,NA,NA,63.78632,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.0037,NA,NA,NA,NA,NA,62.81494,70.44526,21.74755,37.31343,42.60179,NA,NA,6.387537,NA,NA,6.99005,51.3834,NA,64.94949,19.44794,NA,NA,63.75546,6.994547,NA,35.1208,NA,0.690361,15.2,47.61637,NA,65.52863,NA,68.19105,NA,57.61261,NA,NA,NA,NA,24.15172,NA,11.77817,NA,60.30523,48.95449,7.102804,NA,NA,NA,60.51877,11.55401,NA,57.97254,31.03741,25.04758,51.30152,2.948886,35.3635,90.06211,NA,8.847364,NA,NA,NA,NA,40.30609,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.17605,NA,NA,NA,NA,NA,8.541873,19.48337,NA,NA,NA,NA,NA,NA,NA,25.22293,NA,54.82897,NA,1.74537,NA,63.809,61.38614,NA,55.00433,NA,17.08578,68.92052,0.004084,22.58772,2.382716,40.25925,8.538429,NA,NA,NA,NA,NA,NA,70.68182,NA,69.60738,NA,NA,23.51653,NA,NA,12.2573,NA,NA,NA,NA,60.34224,NA,NA,NA,NA,45.81932,NA,NA,NA,NA,42.79919,0.03328,66.47697,NA,0.720415,55.61017,NA,0.199333,NA,48.238,NA,NA,19.62482,0.095229
1989M01,NA,NA,NA,NA,34.38592,NA,63.63636,NA,NA,64.02666,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.10908,NA,NA,NA,NA,NA,63.16247,70.83155,21.99008,38.80597,42.8997,NA,NA,6.572541,NA,NA,7.064677,51.96588,NA,65.65657,20.09587,NA,NA,63.9738,7.088926,NA,36.35313,NA,0.726069,15.1,48.16927,NA,65.85903,NA,68.52228,NA,57.72647,NA,NA,NA,NA,24.15172,NA,11.97586,NA,60.56294,49.44649,7.149533,NA,NA,NA,60.78443,11.62138,NA,58.71172,31.57263,26.21727,51.6269,3.014417,38.88155,89.85507,NA,9.123844,NA,NA,NA,NA,40.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.61171,NA,NA,NA,NA,NA,8.750965,20.13248,NA,NA,NA,NA,NA,NA,NA,25.35032,NA,55.13078,NA,1.9393,NA,63.17601,61.82618,NA,55.00574,NA,17.11663,68.92052,0.005976,23.24561,4.278752,40.98107,8.616971,NA,NA,NA,NA,NA,NA,70.45455,NA,69.57834,NA,NA,23.65591,NA,NA,12.51015,NA,NA,NA,NA,61.04273,NA,NA,NA,NA,46.1892,NA,NA,NA,NA,43.10345,0.035474,66.47697,NA,0.752198,55.88706,NA,0.201556,NA,48.5919,NA,NA,19.91342,0.095229
1989M02,NA,NA,NA,NA,34.60887,NA,63.7486,NA,NA,64.31068,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.23094,NA,NA,NA,NA,NA,63.59687,71.18759,22.0173,39.05084,42.70109,NA,NA,6.796495,NA,NA,7.064677,51.70585,NA,65.85859,20.24848,NA,NA,64.41048,7.130872,NA,36.58909,NA,0.761778,15.7,48.20389,NA,66.29956,NA,68.69324,NA,57.95418,NA,NA,NA,NA,24.05274,NA,12.04869,NA,60.72843,50.3075,7.242991,NA,NA,NA,60.94789,11.76735,NA,58.71172,32.01781,26.66095,51.95228,3.014417,40.43721,89.54451,NA,9.152445,NA,NA,NA,NA,40.51393,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.77927,NA,NA,NA,NA,NA,8.869776,20.28537,NA,NA,NA,NA,NA,NA,NA,25.73248,NA,55.03018,NA,2.036265,NA,63.3759,62.0462,NA,55.24338,NA,17.21691,68.92052,0.008466,23.46491,5.296946,41.51864,8.860168,NA,NA,NA,NA,NA,NA,70.56818,NA,69.76182,NA,NA,24.1139,NA,NA,12.69269,NA,NA,NA,NA,61.3763,NA,NA,NA,NA,46.76082,NA,NA,NA,NA,43.20487,0.037169,67.0568,NA,0.794576,56.11781,NA,0.20791,NA,48.75023,NA,NA,20.20202,0.095229
1989M03,NA,NA,NA,NA,35.11426,NA,63.86083,NA,NA,64.46362,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.41537,NA,NA,NA,NA,NA,63.9444,71.37883,22.43669,39.72715,42.40318,NA,NA,6.962025,NA,NA,7.077114,51.79946,NA,65.85859,20.54505,NA,NA,64.84716,7.214765,NA,37.12812,NA,0.833194,16.2,48.51118,NA,66.96035,NA,68.85351,NA,58.1819,NA,NA,NA,NA,24.64663,NA,12.14234,NA,61.02267,50.3075,7.28972,NA,NA,NA,61.25298,11.80103,NA,58.71172,32.91817,26.78195,52.38612,3.079948,40.68124,90.06211,NA,9.304986,NA,NA,NA,NA,40.79178,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.99151,NA,NA,NA,NA,NA,8.965845,20.58247,NA,NA,NA,NA,NA,NA,NA,25.73248,NA,55.03018,NA,2.13323,NA,63.62021,62.59626,NA,55.18581,NA,17.26319,68.92052,0.012052,23.46491,5.525016,41.88605,9.026788,NA,NA,NA,NA,NA,NA,70.45455,NA,69.69215,NA,NA,24.49223,NA,NA,12.87354,NA,NA,NA,NA,61.60979,NA,NA,NA,NA,46.76082,NA,NA,NA,NA,43.20487,0.038295,67.21787,NA,0.858142,56.44086,NA,0.252126,NA,49.03835,NA,NA,20.49062,0.095229
1989M04,NA,NA,NA,NA,35.52607,NA,64.0853,NA,NA,64.88967,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.44173,NA,NA,NA,NA,NA,64.11816,71.75445,22.67019,40.24021,42.50248,NA,NA,7.137293,NA,NA,7.089552,51.97628,NA,66.26263,20.81199,NA,NA,65.28384,7.361577,NA,37.55897,NA,0.857,17.7,48.6421,NA,67.62115,NA,69.28091,NA,58.97891,NA,NA,NA,NA,25.14154,NA,12.288,NA,61.56158,51.16851,7.28972,NA,NA,NA,61.79282,11.98069,NA,59.3453,33.61845,27.46763,52.60304,3.079948,41.00661,91.61491,NA,9.39079,NA,NA,NA,NA,40.96406,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.20375,NA,NA,NA,NA,NA,9.099956,20.84991,NA,NA,NA,NA,NA,NA,NA,26.36943,NA,54.92958,NA,2.32716,NA,63.94225,62.92629,NA,55.70963,NA,17.6643,68.68327,0.017828,23.68421,5.939571,42.3044,9.044039,NA,NA,NA,NA,NA,NA,71.13636,NA,70.09279,NA,NA,24.60175,NA,NA,13.11692,NA,NA,NA,NA,62.21021,NA,NA,NA,NA,46.86169,NA,NA,NA,NA,43.40771,0.040679,67.81918,NA,0.900519,56.81005,NA,0.28618,NA,49.49379,NA,NA,20.77922,0.095229
1989M05,NA,NA,NA,NA,35.78385,NA,64.19753,NA,NA,64.95521,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.58334,NA,NA,NA,NA,NA,64.81321,71.804,23.11449,40.54338,42.8004,NA,NA,7.263875,NA,NA,7.189055,51.20657,NA,66.36364,20.95208,NA,NA,65.72052,7.602768,NA,37.83889,NA,0.868903,16.4,48.71135,NA,67.84141,NA,69.61214,NA,59.32049,NA,NA,NA,NA,25.24053,NA,12.38165,NA,61.86206,51.53752,7.383178,NA,NA,NA,62.10683,12.05929,NA,59.3453,34.28872,27.70964,52.81996,3.145478,39.78648,92.13251,NA,9.457527,NA,NA,NA,NA,41.48421,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.43834,NA,NA,NA,NA,NA,9.225245,20.99025,NA,NA,NA,NA,NA,NA,NA,26.49682,NA,55.23139,NA,2.424125,NA,63.94225,63.14631,NA,55.56972,NA,17.47146,68.8019,0.023107,23.90351,6.212476,42.36834,9.254698,NA,NA,NA,NA,NA,NA,70.45455,NA,70.58865,NA,NA,24.98009,NA,NA,13.31381,NA,NA,NA,NA,62.47707,NA,NA,NA,NA,47.23156,NA,NA,NA,NA,43.50913,0.04192,68.32385,NA,0.921708,57.1331,NA,0.30436,NA,49.74544,NA,NA,21.06782,0.095229
1989M06,NA,NA,NA,NA,35.68447,NA,64.422,NA,NA,65.0863,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.54053,NA,NA,NA,NA,NA,65.07385,71.92679,23.52264,40.39179,42.99901,NA,NA,7.361246,NA,NA,7.263682,51.23778,NA,66.36364,20.92441,NA,NA,65.50218,7.791527,NA,37.73358,NA,0.892708,16.5,48.97643,NA,68.39207,NA,69.69762,NA,59.54821,NA,NA,NA,NA,25.63646,NA,12.46488,NA,61.97065,52.02952,7.429907,NA,NA,NA,62.21704,12.03683,NA,59.3453,35.29912,28.05248,53.03688,3.211009,40.51856,92.02899,NA,9.591,NA,NA,NA,NA,41.55312,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.6059,NA,NA,NA,NA,NA,9.337303,20.96253,NA,NA,NA,NA,NA,NA,NA,26.6242,NA,55.23139,NA,2.618055,NA,63.87562,63.47635,NA,55.62766,NA,17.43289,68.8019,0.028386,24.23246,6.423652,42.64688,9.739271,NA,NA,NA,NA,NA,NA,70.22727,NA,70.90915,NA,NA,26.03544,NA,NA,13.48769,NA,NA,NA,NA,62.67721,NA,NA,NA,NA,47.4221,NA,NA,NA,NA,43.71197,0.042799,68.14131,NA,0.995868,57.27155,NA,0.314126,NA,49.8159,NA,NA,21.21212,0.095229
1989M07,NA,NA,NA,NA,35.04989,NA,65.20763,NA,NA,65.28294,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.64592,NA,NA,NA,NA,NA,65.50825,71.76757,23.95107,39.47062,42.99901,NA,NA,7.478092,NA,NA,7.338308,51.44581,NA,66.36364,20.60892,NA,NA,65.50218,7.938339,NA,37.04991,NA,0.904611,16.9,49.7717,NA,68.39207,NA,69.85789,NA,59.54821,NA,NA,NA,NA,25.43849,NA,12.47529,NA,62.0863,52.27552,7.570093,NA,NA,NA,62.33639,12.08174,NA,60.19007,35.55422,28.21382,53.14534,3.211009,41.66751,91.92547,NA,9.686338,NA,NA,NA,NA,41.51755,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.7958,NA,NA,NA,NA,NA,9.430615,20.64647,NA,NA,NA,NA,NA,NA,NA,26.87898,NA,55.4326,NA,2.52109,NA,64.06441,63.58636,NA,55.62413,NA,17.67201,68.92052,0.035358,24.45175,6.654971,43.03489,10.12426,NA,NA,NA,NA,NA,NA,70,NA,71.11238,NA,NA,26.51334,NA,NA,13.51902,NA,NA,NA,NA,62.67721,NA,NA,NA,NA,48.08339,NA,NA,NA,NA,43.71197,0.044097,67.81918,NA,1.059434,57.41,NA,0.321904,NA,49.81613,NA,NA,21.35642,0.095229
1989M08,NA,NA,NA,NA,35.03426,NA,65.4321,NA,NA,65.51234,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.35402,NA,NA,NA,NA,NA,65.59513,72.00581,24.1914,39.40065,43.09831,NA,NA,7.5852,NA,NA,7.412935,51.58103,NA,66.36364,20.63055,NA,NA,65.82969,8.137584,NA,37.02842,NA,0.928417,17.1,49.88639,NA,68.5022,NA,69.94337,NA,59.54821,NA,NA,NA,NA,25.43849,NA,12.63136,NA,62.15375,52.39852,7.616822,NA,NA,NA,62.40171,12.1042,NA,60.19007,36.02941,28.55666,53.14534,3.27654,42.97916,91.82195,NA,9.638669,NA,NA,NA,NA,41.83097,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.88517,NA,NA,NA,NA,NA,9.520482,20.66814,NA,NA,NA,NA,NA,NA,NA,26.87898,NA,55.4326,NA,2.52109,NA,64.25319,63.36634,NA,55.76408,NA,17.88028,68.92052,0.044123,24.89035,6.775179,43.73503,10.50926,NA,NA,NA,NA,NA,NA,70.22727,NA,71.19947,NA,NA,26.9315,NA,NA,13.72551,NA,NA,NA,NA,62.94406,NA,NA,NA,NA,48.54293,NA,NA,NA,NA,44.62475,0.045654,68.38827,NA,1.101812,57.5023,NA,0.328889,NA,49.87005,NA,NA,21.78932,0.095229
1989M09,NA,NA,NA,NA,35.51954,NA,64.87093,NA,NA,65.82915,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.22679,NA,NA,NA,NA,NA,65.68202,72.31905,24.70601,40.01866,43.09831,NA,NA,7.692308,NA,NA,7.475124,51.91388,NA,66.36364,20.90983,NA,NA,66.15721,8.441695,NA,37.54542,NA,0.976028,17.5,50.4144,NA,69.27313,NA,70.11433,NA,60.00364,NA,NA,NA,NA,26.42832,NA,12.76662,NA,62.44739,53.13653,7.663551,NA,NA,NA,62.70013,12.12666,NA,60.19007,36.7597,29.00033,53.47072,3.342071,42.8063,92.54658,NA,9.753075,NA,NA,NA,NA,42.21108,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.0639,NA,NA,NA,NA,NA,9.611589,20.94793,NA,NA,NA,NA,NA,NA,NA,27.26115,NA,55.6338,NA,2.52109,NA,64.56413,63.91639,NA,55.90754,NA,17.94971,68.92052,0.056075,25.10965,7.08642,43.851,10.90757,NA,NA,NA,NA,NA,NA,70.22727,NA,71.19483,NA,NA,27.15054,NA,NA,13.80474,NA,NA,NA,NA,63.44441,NA,NA,NA,NA,48.83434,NA,NA,NA,NA,44.92901,0.048222,70.18147,NA,1.154783,57.68689,NA,0.339688,NA,50.15321,NA,NA,21.93362,0.095229
