Year,Afghanistan,Angola,Albania,United Arab Emirates,Argenti0,Armenia,Developing Asia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burki0 Faso,Bangladesh,Bulgaria,Bahrain,Bahamas,Bosnia and Herzegovi0,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswa0,Central African Republic,Ca0da,Switzerland,Chile,Chi0,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Cyprus,Czech Republic,Germany,Developing Countries,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific developing,Europe & Central Asia developing,Ecuador,"Egypt, Arab Rep.",Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Gha0,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Gre0da,Guatemala,Guya0,High Income Countries,"Hong Kong SAR, Chi0",Honduras,Croatia,Haiti,Hungary,High income: OECD,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean developing,"Lao, PDR",Lebanon,Liberia,Libya,St. Lucia,Low Income,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Madagascar,Maldives,Mexico,Middle Income Countries,"Macedonia, FYR",Mali,Malta,Myanmar,Middle East & N. Africa developing,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,0mibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,High Income: Non-OECD,Oman,Pakistan,Pa0ma,Peru,Philippines,Papua New Guinea,Poland,Portugal,Paraguay,West Bank and Gaza,Qatar,Romania,Russian Federation,Rwanda,South Asia developing,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Serbia,South Sudan,Sub-Saharan Africa developing,Sao Tome and Principe,Suri0me,Slovakia,Slovenia,Sweden,Swaziland,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, Chi0","Tanzania, United Rep.",Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Gre0dines,"Venezuela, RB",Viet0m,Vanuatu,World (WBG members),Samoa,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1988M12,0,0,0,3.675,0,0,190.3592,0,1.164807,0.842486,0,0,0.842486,0,0,0,0,0.378,0,0,0,0,0,0,0,0,15.01773,0,0,1.1965,1.480864,245.7682,3.731,0,0,0,0,0,0,0,0,0.842486,0,0.842486,0,0,0,6.793227,0,0,263.5328,0,1,0,0,0.842486,0.842486,0,0.842486,0,0.842486,0,0,0.548072,0,0,0,0,0,0,0.842486,0,0,0,34.98479,7.806273,0,0,0,0,36.71427,0,15.01773,0.842486,0,0,0,1.644909,0.842486,0,0.514,123.6641,0,18.62,0,0,0,0,687.8727,0.278409,0,0,0,0,0,0,0,33.01864,2.349682,0.842486,0.842486,0.842486,8.3375,0,0,0,2.281,0,0,0,0.842486,0,0,0,0,0,0,0,0,2.694045,2.349682,0,0,0,0.842486,6.526227,0,1.566983,0,0.387955,18.6475,1,0,0,0,0,0.842486,0,1,3.642,0.001,0,0,16.17234,3.752,0,0,1.9445,0,0,0,0,0,0,0,0,0,0.842486,0.842486,6.091182,2.349682,0,0,0,0,25.15591,0,0,0,0,0,0.885455,0.002,28.19955,125.125,0,0,0,1,0,0,0,0,0,76.76546,0,0,2.349682,0,0
1989M01,0,0,0,3.675,0,0,191.0076,0,1.14881,0.874694,0,0,0.874694,0,0,0,0,0.378,0,0,0,0,0,0,0,0,15.07864,0,0,1.191909,1.560364,247.1382,3.731,0,0,0,0,0,0,0,0,0.874694,0,0.874694,0,0,0,7.106364,0,0,264.0013,0,1,0,0,0.874694,0.874694,0,0.874694,0,0.874694,0,0,0.562866,0,0,0,0,0,0,0.874694,0,0,0,35.41262,7.805545,0,0,0,0,37.1649,0,15.07864,0.874694,0,0,0,1.685,0.874694,0,0.529432,127.2977,0,18.71409,0,0,0,0,685.4045,0.284955,0,0,0,0,0,0,0,33.13114,2.3855,0.874694,0.874694,0.874694,8.371591,0,0,0,2.282318,0,0,0,0.874694,0,0,0,0,0,0,0,0,2.722182,2.3855,0,0,0,0.874694,6.678818,0,1.596001,3.029721,0.385909,18.91386,1,0,0,0,0,0.874694,0,1,3.642,0.001,0,0,16.25547,3.752,0,0,1.941273,0,0,0,0,0,0,0,0,0,0.874694,0.874694,6.268909,2.3855,0,0,0,0,25.30182,0,0,0,1.136364,0,0.92125,0.002,27.92,125.6875,0,0,0,1,0,0,0,0,0,77.67523,0,0,2.3855,0,0
1989M02,0,0,0,3.675,0,0,191.9781,0,1.169614,0.88321,0,0,0.88321,0,0,0,0,0.378,0,0,0,0,0,0,0,0,15.236,0,0,1.18925,1.57395,245.85,3.731,0,0,0,0,0,0,0,0,0.88321,0,0.88321,0,0,0,7.2082,0,0,264.2489,0,1,0,0,0.88321,0.88321,0,0.88321,0,0.88321,0,0,0.570153,0,0,0,0,0,0,0.88321,0,0,0,35.33238,7.80105,0,0,0,0,37.08043,0,15.236,0.88321,0,0,0,1.685,0.88321,0,0.5475,127.6755,0,18.8305,0,0,0,0,680.22,0.2881,0,0,0,0,0,0,0,33.1025,2.45875,0.88321,0.88321,0.88321,8.4335,0,0,0,2.475,0,0,0,0.88321,0,0,0,0,0,0,0,0,2.73085,2.45875,0,0,0,0.88321,6.72415,0,1.616534,3.028403,0.386,19.0675,1,0,0,0,0,0.88321,0,1,3.642,0.001,0,0,16.40952,3.75255,0,0,1.9285,0,0,0,0,0,0,0,0,0,0.88321,0.88321,6.3233,2.45875,0,0,0,0,25.3835,0,0,0,1.168727,0,0.94035,0.002,27.703,127.725,0,0,0,1,0,0,0,0,0,77.5363,0,0,2.45875,0,0
1989M03,0,0,0,3.675,0,0,193.447,0,1.223637,0.890488,0,0,0.890488,0,0,0,0,0.378,0,0,0,0,0,0,0,0,15.45522,0,0,1.195565,1.611304,246.3096,3.731,0,0,0,0,0,0,0,0,0.890488,0,0.890488,0,0,0,7.291391,0,0,264.5445,0,1,0,0,0.890488,0.890488,0,0.890488,0,0.890488,0,0,0.583451,0,0,0,0,0,0,0.890488,0,0,0,35.59831,7.797739,0,0,0,0,37.36052,0,15.45522,0.890488,0,0,0,1.69087,0.890488,0,0.538043,130.5509,0,19.2013,0,0,0,0,675.6761,0.290217,0,0,0,0,0,0,0,33.42804,2.539391,0.890488,0.890488,0.890488,8.475217,0,0,0,2.475,0,0,0,0.890488,0,0,0,0,0,0,0,0,2.753609,2.539391,0,0,0,0.890488,6.805957,0,1.622369,3.029622,0.386217,19.4137,1,0,0,0,0,0.890488,0,1,3.642,0.001,0,0,16.64788,3.751783,0,0,1.939478,0,0,0,0,0,0,0,0,0,0.890488,0.890488,6.393304,2.539391,0,0,0,0,25.47174,0,0,0,1.241492,0,0.943978,0.002,27.61783,130.4565,0,0,0,1,0,0,0,0,0,78.12339,0,0,2.539391,0,0
1989M04,0,0,0,3.675,0,0,195.0895,0,1.243114,0.890342,0,0,0.890342,0,0,0,0,0.378,0,0,0,0,0,0,0,0,15.7065,0,0,1.1889,1.64695,252.241,3.731,0,0,0,0,0,0,0,0,0.890342,0,0.890342,0,0,0,7.2804,0,0,264.6188,0,1,0,0,0.890342,0.890342,0,0.890342,0,0.890342,0,0,0.587579,0,0,0,0,0,0,0.890342,0,0,0,35.73175,7.7833,0,0,0,0,37.5011,0,15.7065,0.890342,0,0,0,1.82,0.890342,0,0.538,132.039,0,19.373,0,0,0,0,672.12,0.29085,0,0,0,0,0,0,0,34.0235,2.5482,0.890342,0.890342,0.890342,8.4915,0,0,0,2.475,0,0,0,0.890342,0,0,0,0,0,0,0,0,2.72115,2.5482,0,0,0,0.890342,6.7965,0,1.632956,3.029086,0.386,19.8445,1,0,0,0,0,0.890342,0,1,3.642,0.001,0,0,16.93112,3.75105,0,0,1.95045,0,0,0,0,0,0,0,0,0,0.890342,0.890342,6.369,2.5482,0,0,0,0,25.5225,0,0,0,1.215517,0,0.9442,0.002,26.9633,132.225,0,0,0,1,0,0,0,0,0,78.43185,0,0,2.5482,0,0
1989M05,0,0,0,3.675,0,0,197.7067,0,1.295352,0.926673,0,0,0.926673,0,0,0,0,0.378087,0,0,0,0,0,0,0,0,16.09361,0,0,1.193217,1.729435,252.3465,3.731,0,0,0,0,0,0,0,0,0.926673,0,0.926673,0,0,0,7.589696,0,0,265.1841,0,1,0,0,0.926673,0.926673,0,0.926673,0,0.926673,0,0,0.613961,0,0,0,0,0,0,0.926673,0,0,0,36.44886,7.780087,0,0,0,0,38.25642,0,16.09361,0.926673,0,0,0,1.82,0.926673,0,0.539174,138.0187,0,20.12957,0,0,0,0,669.2478,0.294652,0,0,0,0,0,0,0,34.14283,2.674217,0.926673,0.926673,0.926673,8.675435,0,0,0,2.475,0,0,0,0.926673,0,0,0,0,0,0,0,0,2.696652,2.674217,0,0,0,0.926673,7.040043,0,1.647069,3.031586,0.386565,20.61457,1,0,0,0,0,0.926673,0,1,3.643478,0.001,0,0,17.35327,3.750717,0,0,1.957565,0,0,0,0,0,0,0,0,0,0.926673,0.926673,6.582348,2.674217,0,0,0,0,25.74217,0,0,0,1.272192,0,0.97263,0.002,25.75013,137.7717,0,0,0,1,0,0,0,0,0,79.98983,0,0,2.674217,0,0
1989M06,0,0,0,3.675,0,0,199.7846,0,1.321213,0.943453,0,0,0.943453,0,0,0,0,0.378,0,0,0,0,0,0,0,0,16.41,0,0,1.198591,1.709,254.9491,3.731045,0,0,0,0,0,0,0,0,0.943453,0,0.943453,0,0,0,7.708864,0,0,265.7376,0,1,0,0,0.943453,0.943453,0,0.943453,0,0.943453,0,0,0.643008,0,0,0,0,0,0,0.943453,0,0,0,37.24036,7.7925,0,0,0,0,39.09011,0,16.41,0.943453,0,0,0,1.828682,0.943453,0,0.569727,143.9809,0,20.95909,0,0,0,0,669.4227,0.297409,0,0,0,0,0,0,0,34.41818,2.783182,0.943453,0.943453,0.943453,8.830455,0,0,0,2.475,0,0,0,0.943453,0,0,0,0,0,0,0,0,2.708682,2.783182,0,0,0,0.943453,7.185364,0,1.738113,3.034072,0.385682,21.01182,1,0,0,0,0,0.943453,0,1,3.645,0.001,0,0,17.68159,3.750773,0,0,1.957318,0,0,0,0,0,0,0,0,0,0.943453,0.943453,6.687318,2.783182,0,0,0,0,25.92955,0,0,0,1.321428,0,0.984636,0.002,25.99536,138.7045,0,0,0,1,0,0,0,0,0,81.68848,0,0,2.783182,0,0
1989M07,0,0,0,3.675,0,0,199.6825,0,1.319639,0.901217,0,0,0.901217,0,0,0,0,0.378,0,0,0,0,0,0,0,0,16.41257,0,0,1.189429,1.629238,269.8833,3.731,0,0,0,0,0,0,0,0,0.901217,0,0.901217,0,0,0,7.358619,0,0,265.3925,0,1,0,0,0.901217,0.901217,0,0.901217,0,0.901217,0,0,0.614926,0,0,0,0,0,0,0.901217,0,0,0,36.85447,7.803381,0,0,0,0,38.68362,0,16.41257,0.901217,0,0,0,2.011,0.901217,0,0.626333,140.4805,0,20.77429,0,0,0,0,669.8381,0.295952,0,0,0,0,0,0,0,34.71952,2.69219,0.901217,0.901217,0.901217,8.540238,0,0,0,2.473714,0,0,0,0.901217,0,0,0,0,0,0,0,0,2.681667,2.69219,0,0,0,0.901217,6.953333,0,1.735419,3.033492,0.385524,20.94,1,0,0,0,0,0.901217,0,1,3.645,0.001,0,0,17.68623,3.751048,0,0,1.959143,0,0,0,0,0,0,0,0,0,0.901217,0.901217,6.469286,2.69219,0,0,0,0,25.82762,0,0,0,1.285762,0,0.951071,0.002,25.78719,137.1667,0,0,0,1,0,0,0,0,0,80.87146,0,0,2.69219,0,0
1989M08,0,0,0,3.675,0,0,200.9548,0,1.308789,0.916061,0,0,0.916061,0,0,0,0,0.378,0,0,0,0,0,0,0,0,16.6,0,0,1.17587,1.660652,275.1122,3.731,0,0,0,0,0,0,0,0,0.916061,0,0.916061,0,0,0,7.493913,0,0,265.4819,0,1,0,0,0.916061,0.916061,0,0.916061,0,0.916061,0,0,0.627569,0,0,0,0,0,0,0.916061,0,0,0,37.03855,7.807826,0,0,0,0,38.87747,0,16.6,0.916061,0,0,0,2.011,0.916061,0,0.744609,141.4135,0,21.20913,0,0,0,0,671.1283,0.29813,0,0,0,0,0,0,0,36.28087,2.723391,0.916061,0.916061,0.916061,8.577174,0,0,0,2.536739,0,0,0,0.916061,0,0,0,0,0,0,0,0,2.682652,2.723391,0,0,0,0.916061,7.048087,0,1.685821,3.03491,0.386087,20.96783,1,0,0,0,0,0.916061,0,1,3.645,0.001,0,0,17.90357,3.75087,0,0,1.959783,0,0,0,0,0,0,0,0,0,0.916061,0.916061,6.548174,2.723391,0,0,0,0,25.8587,0,0,0,1.33402,0,0.952043,0.002,25.65461,141.0435,0,0,0,1,0,0,0,0,0,81.28793,0,0,2.723391,0,0
1989M09,0,0,0,3.675,0,0,202.4124,0,1.291694,0.927284,0,0,0.927284,0,0,0,0,0.378,0,0,0,0,0,0,0,0,16.74286,0,0,1.182857,1.687762,278.7848,3.731,0,0,0,0,0,0,0,0,0.927284,0,0.927284,0,0,0,7.591762,0,0,265.922,0,1,0,0,0.927284,0.927284,0,0.927284,0,0.927284,0,0,0.635743,0,0,0,0,0,0,0.927284,0,0,0,37.5762,7.808524,0,0,0,0,39.44373,0,16.74286,0.927284,0,0,0,2.009667,0.927284,0,0.686048,145.1143,0,21.66143,0,0,0,0,672.7348,0.300524,0,0,0,0,0,0,0,39.44238,2.785667,0.927284,0.927284,0.927284,8.706905,0,0,0,2.547857,0,0,0,0.927284,0,0,0,0,0,0,0,0,2.698333,2.785667,0,0,0,0.927284,7.130095,0,1.685713,3.037819,0.385952,21.00095,1,0,0,0,0,0.927284,0,1,3.645,0.001,0,0,18.13049,3.750762,0,0,1.977762,0,0,0,0,0,0,0,0,0,0.927284,0.927284,6.613429,2.785667,0,0,0,0,26.00381,0,0,0,1.305067,0,0.970619,0.002,25.69429,142.619,0,0,0,1,0,0,0,0,0,82.44406,0,0,2.785667,0,0
